Manduca Sexta,,
time (s),d10 filament spacing (nm),std. dev. (nm)
0.000138169,-0.339659091,0.640570087
0.003108808,-0.011136364,0.734598724
0.005872193,0.289545455,0.423181818
0.010017271,0.434318182,0.395340909
0.013816926,0.584659091,0.381420455
0.018238342,0.445454545,0.350795455
0.022107081,0.289545455,0.317386364
0.024732297,-0.005568182,0.309034091
0.026804836,-0.245,0.331306818
0.029913644,-0.606931818,0.403693182
0.033920553,-0.618068182,0.320170455
0.037858377,-0.601363636,0.247784091
0.039930915,-0.3675,0.270056818
