Rabbit - high ATP,,,,
time (s),A band width (micron),,time (s),Sarcomere length (micron)
0.008071667,1.194596309,,0.018072894,2.259825
0.0336,1.196435072,,0.046954585,2.255696429
0.0625,1.196948485,,0.075797371,2.255077143
0.0914,1.196449303,,0.099937156,2.245168571
0.1203,1.195566977,,0.124136443,2.229892857
0.140770833,1.197218054,,0.153084503,2.219777857
0.151608333,1.199090259,,0.181982214,2.214204286
0.164131667,1.200997659,,0.21088908,2.207805
0.179820238,1.203325798,,0.239841717,2.197277143
0.194958333,1.205812794,,0.268833259,2.18324
0.219041667,1.207881771,,0.297801916,2.171267143
0.245533333,1.209523269,,0.326731668,2.162803571
0.274433333,1.209160924,,0.355665996,2.153927143
0.303333333,1.209510133,,0.384492762,2.154752857
0.332233333,1.210680364,,0.408893443,2.164661429
0.361133333,1.211522186,,0.42024587,2.1810725
0.391753571,1.21019768,,0.42967247,2.197793214
0.412511111,1.207980111,,0.439095637,2.214823571
0.42375,1.205405019,,0.448513082,2.23237
0.430975,1.203706597,,0.453154292,2.247232857
0.442535,1.201624045,,0.457781771,2.263334286
0.45265,1.199268148,,0.462409249,2.279435714
0.462283333,1.196638686,,0.467036728,2.295537143
0.473522222,1.193735184,,0.471655052,2.312464286
0.493591667,1.19110335,,0.476255068,2.331042857
0.520083333,1.189236345,,0.490476212,2.348795714
0.548983333,1.188874,,0.501116895,2.364381071
0.573066667,1.187595941,,0.514126243,2.383062857
0.592333333,1.185621108,,0.535663929,2.391113571
0.606301667,1.183655689,,0.564497561,2.39132
0.616898333,1.181617144,,0.593326615,2.391939286
0.621233333,1.179374767,,0.614843704,2.401847857
0.631348333,1.176983292,,0.624284035,2.41733
0.65495,1.174974633,,0.640988272,2.427857857
0.68385,1.174311246,,0.6627777,2.413201429
0.71275,1.175372008,,0.68454882,2.400196429
0.739241667,1.17475843,,0.71340076,2.398751429
0.765733333,1.173444246,,0.742200063,2.402054286
0.792225,1.17481207,,0.766242584,2.400918929
0.806675,1.177074809,,0.773626639,2.385127143
0.819198333,1.179206622,,0.783449161,2.366135714
0.833166667,1.181283371,,0.78844281,2.349208571
0.849336905,1.183797499,,0.805430828,2.334139286
0.862548333,1.185994838,,0.834227843,2.337648571
0.878236905,1.188341743,,0.863045455,2.3393
0.891448333,1.190815883,,0.884731897,2.333932857
0.909029167,1.193205169,,0.899319211,2.318657143
0.939133333,1.194395652,,0.912942582,2.303629143
0.968033333,1.194498553,,0.940465323,2.292027857
0.996933333,1.19347939,,0.969390497,2.283977143
1.021016667,1.191352941,,0.998292786,2.277990714
1.0451,1.189308595,,1.027272886,2.264985714
1.071591667,1.190183805,,1.056209503,2.255902857
1.086041667,1.192309706,,1.085111791,2.249916429
1.098565,1.194381311,,1.114107911,2.235466429
1.114138889,1.196517904,,1.143065125,2.224525714
1.139025,1.198805638,,1.171944528,2.220603571
1.165516667,1.200529239,,1.200748408,2.223493571
1.194416667,1.20074161,,1.224922521,2.210488571
1.220908333,1.201906915,,1.249117232,2.195625714
1.244991667,1.203806214,,1.278088177,2.183446429
