Rabbit - low ATP,,,,
time (s),A band width (micron),,time (s),Sarcomere length (micron)
0.008719771,1.513852752,,0.025991687,2.556108185
0.066625163,1.5165162,,0.042182188,2.575943316
0.126472779,1.516530288,,0.049494068,2.565093591
0.172017192,1.518999384,,0.101953737,2.621990976
0.207210602,1.515370615,,0.085137746,2.588840736
0.223358166,1.511793689,,0.107236919,2.60429319
0.255298404,1.51011735,,0.120493398,2.638116389
0.283689726,1.513725564,,0.144819639,2.650166788
0.304983217,1.516745286,,0.193158304,2.662944867
0.350882521,1.513221341,,0.202372325,2.649752009
0.396261318,1.511112304,,0.202677425,2.671909898
0.422097421,1.516210717,,0.220451079,2.638138219
0.432744167,1.520635729,,0.228300416,2.623315355
0.451908309,1.524386928,,0.239999223,2.612822194
0.427065903,1.511306798,,0.227396839,2.66090736
0.476750716,1.526606694,,0.271396471,2.605130605
0.529416619,1.526020972,,0.301648506,2.634684645
0.587476873,1.524959453,,0.301460396,2.62102316
0.604511666,1.522373911,,0.301372022,2.614605013
0.656858166,1.523259946,,0.341323292,2.62606599
0.695363897,1.521449122,,0.351101221,2.613688135
0.732401667,1.527094591,,0.353465221,2.604748572
0.746468277,1.522855485,,0.380702236,2.595961823
0.792249284,1.527111797,,0.438085716,2.592641613
0.784796562,1.523955986,,0.465428512,2.607957646
0.84000191,1.530148856,,0.495283076,2.608645305
0.901059026,1.53008357,,0.504011882,2.592324873
0.906524355,1.527943939,,0.547833023,2.606156635
0.947100287,1.533785071,,0.561943318,2.589390863
1.008378223,1.534756301,,0.573008734,2.576685551
1.061044126,1.53215398,,0.604687315,2.606628173
1.112716332,1.533645747,,0.609506212,2.595350571
1.148205485,1.530843914,,0.619303079,2.584348033
1.162401146,1.527064868,,0.620784392,2.571511739
1.187243553,1.537623869,,0.625929851,2.559867386
1.184759312,1.533178926,,0.647402791,2.547902126
1.199438916,1.544167242,,0.687573643,2.536604877
1.172338109,1.54154614,,0.714660513,2.525515017
1.207117479,1.548682435,,0.738424649,2.513944888
1.192212034,1.528103724,,0.77240227,2.504426819
1.252827507,1.543335893,,0.795404708,2.489145516
1.311455587,1.54478858,,0.836711043,2.478601417
1.346234957,1.547504517,,0.897140386,2.480675308
1.367765043,1.543162075,,0.940305757,2.488167513
1.385982808,1.539825384,,0.972400596,2.476090917
1.397575931,1.536305256,,0.999102108,2.511558094
1.410825215,1.531870703,,0.996152107,2.498008672
1.419520057,1.52668128,,0.997019012,2.48871764
1.426972779,1.521777558,,0.996514018,2.524292513
1.445604585,1.517423455,,1.029444306,2.477417116
1.485352436,1.515883285,,1.040466096,2.465062183
1.525100287,1.518069934,,1.031093424,2.506871827
1.545683995,1.514922873,,1.035903483,2.494952411
1.584722063,1.518257562,,1.065161524,2.452317576
1.604595989,1.514829546,,1.095544977,2.439808738
1.643634056,1.512265342,,1.150547026,2.439939721
1.674864511,1.508583455,,1.18956185,2.45564126
1.71977442,1.50644552,,1.217062887,2.482449527
1.772530659,1.507462357,,1.204665879,2.468821383
1.773524355,1.503936819,,1.228995186,2.50173731
1.781805158,1.503000053,,1.235259626,2.523192259
1.835404532,1.510470404,,1.235098028,2.511456218
1.833146132,1.506113609,,1.277489677,2.483399746
1.89773639,1.508679478,,1.274306537,2.468974196
1.889218993,1.504524103,,1.270444392,2.459423382
1.910985673,1.503467552,,1.289644862,2.499170051
1.940796562,1.512706935,,1.331906616,2.517874365
1.957358166,1.507922064,,1.319296166,2.485095971
2.005386819,1.503109197,,1.309180522,2.472947335
2.02294212,1.507591915,,1.329464413,2.501064932
2.06567106,1.514125232,,1.38526856,2.528483956
2.051759312,1.510200682,,1.443792055,2.535498801
2.04182235,1.504026637,,1.469397171,2.548681472
2.071633238,1.518478995,,1.491961211,2.561769908
2.074117479,1.508487657,,1.51186513,2.582361464
2.110387393,1.513634909,,1.489601947,2.571053299
2.12739064,1.508362309,,1.522689819,2.600131436
2.154110029,1.506395077,,1.532849199,2.6154564
2.194851576,1.510266876,,1.543013989,2.631174311
2.246949652,1.510274918,,1.550327372,2.64623731
2.256886615,1.507061689,,1.564739515,2.660776378
2.272501842,1.504162473,,1.568970035,2.675577411
2.310120344,1.511675268,,1.595719943,2.691622779
2.305151862,1.507065508,,1.61252359,2.70782096
2.349868195,1.517220628,,1.624298346,2.720046003
2.372000521,1.522984087,,1.636077311,2.732576671
2.344899713,1.513653462,,1.657346465,2.741936469
2.421083095,1.523902528,,1.681090296,2.75039467
2.431848138,1.521136844,,1.705654846,2.728145093
2.450479943,1.517434363,,1.715529566,2.722796637
2.4627237,1.513897956,,1.767638545,2.730506749
2.48117806,1.511665284,,1.800411198,2.746075155
2.522771347,1.517426364,,1.805571947,2.759624577
2.578418338,1.518359041,,1.819001398,2.723438452
2.600421613,1.523472502,,1.847650921,2.708860089
2.583386819,1.515044166,,1.860034616,2.741225888
2.646320917,1.526206739,,1.879728787,2.726515087
2.677787966,1.528632805,,1.909394329,2.713475042
2.689079969,1.522759748,,1.909963288,2.754795685
2.701210806,1.518306697,,1.90981179,2.743793147
2.697661891,1.514778839,,1.924577789,2.732423858
2.707598854,1.512218866,,1.935369492,2.72142132
2.747346705,1.525940365,,1.9660756,2.711702411
2.747346705,1.522922327,,2.011969658,2.697174986
2.737409742,1.519857775,,1.998912779,2.712252538
2.732441261,1.516427793,,2.035472479,2.683829315
2.806968481,1.524733294,,2.080002053,2.676861041
2.831810888,1.519933835,,2.103453574,2.666670595
2.83843553,1.518448204,,2.153130471,2.661955221
2.856653295,1.529716987,,2.175691039,2.648987944
2.868246418,1.536619761,,2.186876277,2.635601523
2.846716332,1.533996328,,2.196660519,2.623682107
2.857646991,1.52401023,,2.20478165,2.611395939
2.880076136,1.540583777,,2.22284778,2.598865271
2.926212034,1.535127522,,2.242166398,2.586984058
2.921243553,1.540404123,,2.28751636,2.575087563
2.939697912,1.531769552,,2.310201073,2.560814827
2.993512373,1.536053223,,2.343595848,2.547672906
3.053263201,1.537932198,,2.355984412,2.531365573
3.103421203,1.5345044,,2.372903486,2.521541878
3.108626279,1.52958798,,2.366678769,2.508132535
3.123295129,1.525695741,,2.427607068,2.537841935
3.115014327,1.522699911,,2.407485897,2.521541878
3.133646132,1.518448696,,2.449372974,2.553174175
3.129919771,1.514355758,,2.47153045,2.562539431
3.174636103,1.512118631,,2.514012096,2.551340419
3.19947851,1.509056831,,2.523749626,2.536028553
3.249163324,1.511164243,,2.533546493,2.525026015
3.313301902,1.513505594,,2.5416752,2.513289975
3.340252149,1.516750247,,2.561797072,2.499536802
3.362444699,1.507121718,,2.581370065,2.488927212
3.358469914,1.512270359,,2.624533633,2.485967005
3.373375358,1.503343176,,2.640847436,2.473471265
3.388280802,1.50155411,,2.661994024,2.461027919
3.432997135,1.510008154,,2.669294331,2.449337722
3.423060172,1.505507747,,2.716049933,2.464695431
3.423060172,1.502215342,,2.729552006,2.454426396
3.456419975,1.514015766,,2.769768578,2.443869199
3.472744986,1.517309463,,2.785938278,2.431229378
3.512492837,1.512922734,,2.810698723,2.423206694
3.534625163,1.518935618,,2.850533213,2.426186548
3.577083095,1.513994827,,2.852351189,2.413717005
3.567146132,1.509634653,,2.871542732,2.403788524
3.59695702,1.516496188,,2.887392978,2.393751983
3.630381349,1.512108959,,2.911334388,2.386455161
3.654591404,1.510025685,,2.920058144,2.417934645
3.693616567,1.517401764,,2.931671183,2.435617295
3.691358166,1.512845429,,2.947886422,2.452088357
3.70626361,1.521772684,,2.92480508,2.401430838
3.732762178,1.509190477,,2.965486485,2.465917936
