Mouse,,,,,,
frequency (Hz),Elastic modulus (kN/m^2),Std. dev. (kN/m^2),,frequency (Hz),Viscous modulus (kN/m^2),Std. dev. (kN/m^2)
0.113332596,401.4446721,57.375,,0.115365675,76.41363636,32.725
0.122832846,398.6123485,57.375,,0.125036351,76.08522727,32.725
0.253061342,418.0327869,57.375,,0.135517683,81.66818182,32.725
0.482646357,442.3355777,57.375,,0.238074954,78.95333333,32.725
0.523104805,446.6502732,57.375,,0.258031892,78.36219697,32.725
0.566954735,442.3261775,57.375,,0.453305647,64.48143939,32.725
0.614480442,451.6182832,57.375,,0.491304573,57.58484848,32.725
0.665990052,446.4857696,57.375,,0.532488808,57.51916667,32.725
0.72181752,443.0969945,57.375,,0.577125364,54.76744418,32.725
0.782324798,450.3022541,57.375,,0.625503636,57.8694697,32.725
0.847904176,449.8087432,57.375,,0.677937279,67.41522727,32.725
0.918980829,474.1317818,57.375,,0.73476624,52.76818182,32.725
0.996015574,481.7224499,57.375,,0.79635896,45.41181818,32.725
1.079507854,477.9858672,57.375,,0.86311477,53.3155303,32.725
1.169998982,476.4583333,57.375,,0.93546647,54.36096591,32.725
1.268075645,480.8999317,57.375,,1.013883145,46.2,32.725
1.374373709,488.3025956,57.375,,1.098873197,46.48149351,32.725
1.489582345,480.4064208,57.375,,1.19098765,39.63181818,32.725
1.614448492,473.0037568,57.375,,1.290823714,43.24431818,32.725
1.749781703,471.523224,57.375,,1.399028665,37.00454545,32.725
1.896459395,481.1466872,57.375,,1.516304034,26.16704545,32.725
2.055432531,499.1598361,57.375,,1.643410161,19.92727273,32.725
2.227731795,484.8480191,57.375,,1.781171121,22.22613636,32.725
2.414474264,488.3025956,57.375,,1.930480071,19.27045455,32.725
2.616870661,491.7571721,57.375,,2.092305034,13.35909091,32.725
2.836233194,495.2117486,57.375,,2.267695182,4.492045455,32.725
3.073984072,478.432377,57.375,,2.457787634,-3.061363636,32.725
3.331664723,469.5491803,57.375,,2.663814829,-7.659090909,32.725
3.610945783,486.8220628,57.375,,2.887112517,-14.88409091,32.725
3.913637936,461.1594945,57.375,,3.12912842,-26.05,32.725
4.241703647,458.198429,57.375,,3.391431616,-33.60340909,32.725
4.597269885,445.3671448,57.375,,3.675722713,-52.65113636,32.725
4.982641919,427.1072404,57.375,,3.983844876,-51.77537879,32.725
5.400318257,416.3596691,57.375,,4.317795772,-70.38522727,32.725
5.853006848,393.5484973,57.375,,4.679740531,-81.87954545,32.725
6.343642641,367.3460196,57.375,,5.072025772,-87.13409091,32.725
6.875406606,350.8421765,57.375,,5.497194826,-90.41818182,32.725
7.451746367,335.3142077,57.375,,5.95800422,-102.8977273,32.725
8.076398546,320.879013,57.375,,6.457441551,-95.01590909,32.725
8.753412994,295.2575706,57.375,,6.998744856,-86.80568182,32.725
9.487179044,270.3243018,57.375,,7.585423603,-82.20795455,32.725
10.28245397,239.0795765,57.375,,8.221281448,-64.33453857,32.725
11.14439384,208.9754098,57.375,,8.91044089,-42.14204545,32.725
12.07858692,207.494877,57.375,,9.657370005,-40.58210227,32.725
13.09108994,191.8259051,57.375,,10.46691141,-3.804193723,32.725
14.18846731,168.5451145,57.375,,11.34431366,40.59358766,32.725
15.37783375,166.8624772,57.375,,12.29526527,53.4614899,32.725
16.66690035,156.9922587,57.375,,13.32593163,93.71528916,32.725
18.0640246,135.4422814,57.375,,14.44299491,137.7896465,32.725
19.57826459,139.3903689,57.375,,15.65369744,153.8360795,32.725
21.21943769,140.8709016,57.375,,16.96588867,190.2621212,32.725
22.99818422,147.2865437,57.375,,18.38807601,269.1459848,32.725
24.92603645,152.221653,57.375,,19.92948002,297.1045455,32.725
27.01549337,178.4874013,57.375,,21.6000942,341.2281313,32.725
29.28010169,203.7112933,57.375,,23.41074975,426.6307751,32.725
31.7345437,243.4773072,57.375,,25.37318582,470.5702273,32.725
34.39473245,279.3676581,57.375,,27.5001256,532.4316733,32.725
37.27791493,328.1280334,57.375,,29.80535884,607.9984848,32.725
40.40278387,386.0493169,57.375,,32.3038312,673.1376461,32.725
43.78959895,429.9188427,57.375,,35.01174121,746.6178037,32.725
47.46031815,497.0212887,57.375,,37.94664524,801.143319,32.725
51.43874008,577.0405608,57.375,,41.12757135,856.8928998,32.725
55.75065832,650.2975581,57.375,,44.57514268,907.5714718,32.725
60.42402862,728.1558258,57.375,,48.31171108,954.2962511,32.725
65.48915018,811.5343082,57.375,,52.36150211,1005.406466,32.725
70.97886203,867.988113,57.375,,56.75077206,1046.602332,32.725
76.92875601,962.2225528,57.375,,61.50797818,1083.009165,32.725
83.37740747,1022.935163,57.375,,66.66396319,1123.797803,32.725
90.3666254,1137.700173,57.375,,72.25215525,1143.116985,32.725
97.94172346,1213.993558,57.375,,78.30878467,1160.017677,32.725
106.1518138,1296.174618,57.375,,84.87311879,1174.255372,32.725
115.0501255,1373.765626,57.375,,91.98771663,1173.096983,32.725
124.6943496,1446.292552,57.375,,99.69870475,1178.721736,32.725
135.1470131,1530.137708,57.375,,108.0560763,1174.894277,32.725
146.4758844,1589.697049,57.375,,117.1140152,1170.672727,32.725
158.754413,1675.812521,57.375,,126.9312475,1157.536364,32.725
172.0622049,1728.999312,57.375,,137.5714218,1134.680928,32.725
186.4855395,1797.760994,57.375,,149.1035224,1118.664669,32.725
202.1179286,1851.099423,57.375,,161.602316,1094.867641,32.725
219.0607227,1901.813316,57.375,,175.1488371,1067.371286,32.725
237.4237682,1964.206848,57.375,,189.8309126,1038.47277,32.725
257.3261196,1984.888374,57.375,,205.7437318,1009.644793,32.725
277.0321943,1994.497951,57.375,,222.9904635,980.7666008,32.725
,,,,241.6829246,952.7629609,32.725
